dataset,method,peft_type,seed,alpha,checkpoint_type,checkpoint_id,val_bicubic_acc_pct,val_bilinear_acc_pct,test_nearest_acc_pct,loss_ce,selected,alpha_selection_source,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,diagnostic_nearest_full_alpha_sweep,source_run_dir,source_file
CIFAR-100,ADI-LoRA,lora,42,0.2,final,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,87.18,86.74,52.38,3.859965954208374,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed42/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,42,0.4,final,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,91.06,90.72,61.529999999999994,3.1268631381988525,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed42/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,42,0.6,final,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.24,91.94,65.2,2.8721461284637453,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed42/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,42,0.8,final,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.72,92.08,64.84,2.9798900939941406,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed42/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,42,1.0,final,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413/checkpoints/final_delta_lora_seed42.pth,92.54,91.66,60.68,3.42897745552063,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed42_20260624_164413,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed42/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,43,0.2,final,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,86.48,86.1,52.019999999999996,3.952945890045166,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed43/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,43,0.4,final,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,90.88000000000001,90.3,59.540000000000006,3.254307051849365,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed43/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,43,0.6,final,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.14,91.47999999999999,61.72,3.096619923400879,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed43/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,43,0.8,final,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.30000000000001,91.84,60.27,3.285034468078613,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed43/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,43,1.0,final,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356/checkpoints/final_delta_lora_seed43.pth,92.02,91.53999999999999,56.620000000000005,3.728035595703125,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed43_20260624_182356,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed43/lora_full_alpha_nearest_sweep.csv
