dataset,method,evidence_group,seed,corruption,severity,selected_alpha,alpha1_acc_pct,selected_acc_pct,acc_gain_pp,alpha1_loss_ce,selected_loss_ce,loss_reduction,n,corruption_used_for_alpha_selection,nearest_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,placement,source_file
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,gaussian_noise,3,0.8,46.8,52.36,5.56,5.241,4.378835,0.862165,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,shot_noise,3,0.8,57.89,62.96,5.07,3.931822,3.283205,0.648617,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,impulse_noise,3,0.8,59.39,68.31,8.92,3.893826,2.886037,1.007789,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,defocus_blur,3,0.8,89.04,89.68,0.64,0.872456,0.816844,0.055613,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,glass_blur,3,0.8,54.12,58.61,4.49,4.853334,4.154706,0.698628,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,motion_blur,3,0.8,78.68,80.11,1.43,1.885829,1.737935,0.147895,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,zoom_blur,3,0.8,84.92,85.63,0.71,1.244417,1.149497,0.09492,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,snow,3,0.8,82.07,82.97,0.9,1.536428,1.413374,0.123054,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,frost,3,0.8,80.36,81.87,1.51,1.703776,1.530413,0.173363,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,fog,3,0.8,87.76,88.57,0.81,0.961614,0.869249,0.092364,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,brightness,3,0.8,91.44,91.82,0.38,0.665488,0.618263,0.047225,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,contrast,3,0.8,90.21,91.14,0.93,0.749616,0.678236,0.071379,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,elastic_transform,3,0.8,84.6,85.06,0.46,1.307698,1.222142,0.085556,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,pixelate,3,0.8,81.48,83.01,1.53,1.537299,1.379471,0.157828,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,jpeg_compression,3,0.8,72.76,74.74,1.98,2.413345,2.147957,0.265388,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,speckle_noise,3,0.8,65.54,69.82,4.28,3.112835,2.569422,0.543413,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,gaussian_blur,3,0.8,86.32,87.47,1.15,1.112023,1.025654,0.086369,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,spatter,3,0.8,81.79,82.67,0.88,1.525859,1.410052,0.115807,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,full19_severity3_seed42,42,saturate,3,0.8,91.45,91.91,0.46,0.672483,0.633532,0.038951,10000,0,0,final_checkpoint_only,0,Supplement,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,gaussian_noise,1,0.8,77.97,80.16,2.19,1.784772,1.555651,0.229121,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,gaussian_noise,3,0.8,46.8,52.36,5.56,5.241,4.378835,0.862165,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,gaussian_noise,5,0.8,32.16,38.56,6.4,7.520837,6.159512,1.361325,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,jpeg_compression,1,0.8,82.72,83.89,1.17,1.396532,1.249214,0.147318,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,jpeg_compression,3,0.8,72.76,74.74,1.98,2.413345,2.147957,0.265388,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,jpeg_compression,5,0.8,64.54,66.76,2.22,3.304071,2.936211,0.36786,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,zoom_blur,1,0.8,87.2,87.92,0.72,1.044677,0.974038,0.070639,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,zoom_blur,3,0.8,84.92,85.63,0.71,1.244417,1.149497,0.09492,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,zoom_blur,5,0.8,77.51,78.89,1.38,1.972646,1.810715,0.161931,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,glass_blur,1,0.8,55.24,60.68,5.44,4.524556,3.770033,0.754523,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,glass_blur,3,0.8,54.12,58.61,4.49,4.853334,4.154706,0.698628,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,42,glass_blur,5,0.8,36.72,41.26,4.54,7.664477,6.645433,1.019044,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,gaussian_noise,1,0.8,78.47,80.03,1.56,1.770631,1.590217,0.180414,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
