dataset,method,seed,evidence_group,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,nan_flag,divergence_flag,final_checkpoint_only,same_checkpoint_eval,protocol_pass,source_file
CIFAR-100,ADI-LoRA,42,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv
CIFAR-100,ADI-LoRA,43,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv
CIFAR-100,ADI-LoRA,44,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,cda45db1835c_fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload/fr_peft_cifar100_seed42_43_44_no_ckpt/combined_same_checkpoint_comparison.csv
CIFAR-100,ADI-DoRA,42,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,f140930b3819_cifar100_dora_seed42_same_checkpoint_alpha_eval_no_ckpt_20260626_17064./outputs/cifar100_dora_seed42_same_checkpoint_alpha_eval_20260626_165337/same_checkpoint_comparison.csv
CIFAR-100,ADI-DoRA,43,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,426a8e33718b_cifar100_dora_seed43_alpha_eval_no_ckpt_20260627_161631./outputs/cifar100_dora_seed43_same_checkpoint_alpha_eval_20260627_160355/same_checkpoint_comparison.csv
CIFAR-100,ADI-DoRA,44,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,519d8c77ecac_cifar100_dora_seed44_alpha_eval_no_ckpt_20260627_182341./outputs/cifar100_dora_seed44_same_checkpoint_alpha_eval_20260627_175841/same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-LoRA,42,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,ee797c48bd4e_tiny_lora_seed42_selected_vs_alpha1_fixedlabel_20260627_235526/tiny_lora_seed42_selected_vs_alpha1_fixedlabel_20260627_235526/fixedlabel_same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-LoRA,43,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,0a427199b394_tiny_imagenet_lora_seed43_failed_recover_no_ckpt_20260628_154419./outputs/stage4_failed_lora_recover_20260628_153445/tiny_imagenet_lora_seed43_same_checkpoint_recover_20260628_153445/same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-LoRA,44,formal_three_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,1edf2d2f9ac5_tiny_imagenet_lora_seed44_failed_recover_no_ckpt_20260628_155354./outputs/stage4_failed_lora_recover_20260628_153445/tiny_imagenet_lora_seed44_same_checkpoint_recover_20260628_154419/same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-DoRA,42,single_seed_supplement,0,0,final_checkpoint_only,0,0,0,1,1,1,38151e80b594_tiny_imagenet_dora_seed42_no_ckpt_20260628_035138./outputs/stage4_five_exp_formal_safe_20260628_005714/tiny_imagenet_dora_seed42_same_checkpoint_20260628_033735/same_checkpoint_comparison.csv
ImageNet-100,ADI-LoRA,42,pilot_single_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,088448a3f1af_imagenet100_lora_seed42_failed_recover_no_ckpt_20260628_160605./outputs/stage4_failed_lora_recover_20260628_153445/imagenet100_lora_seed42_same_checkpoint_recover_20260628_155354/same_checkpoint_comparison.csv
ImageNet-100,ADI-DoRA,42,pilot_single_seed,0,0,final_checkpoint_only,0,0,0,1,1,1,57cb83220c3d_imagenet100_dora_seed42_no_ckpt_20260628_152413./outputs/stage4_five_exp_formal_safe_20260628_005714/imagenet100_dora_seed42_same_checkpoint_20260628_150658/same_checkpoint_comparison.csv
CIFAR-100-C,ADI-DoRA,42,full19_severity3_seed42,0,0,final_checkpoint_only,0,0,0,1,1,1,2c5bcbfe418f_dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802/dora_cifar100c_full19_s3_seed42_20260627_193734/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,multi,subset_3seed_4corruptions_s1s3s5,0,0,final_checkpoint_only,0,0,0,1,1,1,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
